university_id,University_Name,Type,State_UT,City_District,Year_of_Establishment,Accreditation_NAAC_Grade,NAAC_Score,Approval_Body,Number_of_Courses_UG,Number_of_Courses_PG,Number_of_Courses_Diploma,Number_of_Courses_PhD,NIRF_Ranking_Overall,NIRF_Ranking_by_stream,Hostel_Capacity_Boys,Hostel_Capacity_Girls,Library_Books_Count,Labs_Count_Smart_Classrooms,Placement_Rate_pct,Median_Package_INR,Top_Recruiters,BI_ME_FRP
65,Government Metro Vishwavidyalaya 65,State,Punjab,City_Punjab_16,2012,B,2.38,UGC;AICTE,142,63,11,21,,,56,52,1000,14,59.0,134684,ConsultingFirms;StateCorp;Wipro;Infosys,"BasicInfo:Established 2012;Infra:Hostel 108 seats, Library 1000 books;Management:StateRun;Education:UG 142,PG 63,PhD 21;Finance:Moderate;Rankings:NIRF ;Placement:Rate 59.0% Median 134684"
66,National West School of Mines 66,Autonomous,Manipur,City_Manipur_17,2002,A++,3.7,UGC;AICTE,102,51,20,9,,,453,255,49362,64,61.5,184678,Startups;LocalCompanies;TCS;Accenture,"BasicInfo:Established 2002;Infra:Hostel 708 seats, Library 49362 books;Management:StateRun;Education:UG 102,PG 51,PhD 9;Finance:Moderate;Rankings:NIRF ;Placement:Rate 61.5% Median 184678"
67,Modern North University of Science and Technology 67,Autonomous,Delhi,City_Delhi_18,1962,B++,2.84,UGC;AICTE,8,94,4,26,55,,171,177,117179,19,27.2,524144,Infosys;TCS;Wipro;ConsultingFirms,"BasicInfo:Established 1962;Infra:Hostel 348 seats, Library 117179 books;Management:StateRun;Education:UG 8,PG 94,PhD 26;Finance:Moderate;Rankings:NIRF 55;Placement:Rate 27.2% Median 524144"
68,Indian Institute of Technology Mandi,Central,Goa,Mandi,1992,B,2.37,UGC;AICTE;PCI,102,42,20,31,55,,102,91,2608,1,61.0,192262,ConsultingFirms;LocalCompanies;Accenture;Startups,"BasicInfo:Established 1992;Infra:Hostel 193 seats, Library 2608 books;Management:StateRun;Education:UG 102,PG 42,PhD 31;Finance:Moderate;Rankings:NIRF 55;Placement:Rate 61.0% Median 192262"
69,Indian Metro Institute 69,State,Goa,City_Goa_20,2005,C,1.76,UGC,118,23,9,1,,,63,178,71886,1,49.3,532079,LocalCompanies;LocalBanks;StateCorp;ConsultingFirms,"BasicInfo:Established 2005;Infra:Hostel 241 seats, Library 71886 books;Management:StateRun;Education:UG 118,PG 23,PhD 1;Finance:Moderate;Rankings:NIRF ;Placement:Rate 49.3% Median 532079"
70,Modern South Institute of Technology 70,State,Meghalaya,City_Meghalaya_21,2017,A,3.33,AICTE,48,24,2,39,93,,63,226,67268,71,79.7,591051,StateCorp;Wipro;Startups;Accenture,"BasicInfo:Established 2017;Infra:Hostel 289 seats, Library 67268 books;Management:StateRun;Education:UG 48,PG 24,PhD 39;Finance:Moderate;Rankings:NIRF 93;Placement:Rate 79.7% Median 591051"
71,Tech East Institute of Science 71,State,Puducherry,City_Puducherry_22,1982,B+,2.67,UGC;AICTE,78,88,17,10,,,271,60,1000,79,98.0,556654,TCS;Startups;Infosys;Accenture,"BasicInfo:Established 1982;Infra:Hostel 331 seats, Library 1000 books;Management:StateRun;Education:UG 78,PG 88,PhD 10;Finance:Moderate;Rankings:NIRF ;Placement:Rate 98.0% Median 556654"
72,Metro East Institute of Science 72,State,Puducherry,City_Puducherry_23,1988,A,3.15,UGC;AICTE,128,15,7,24,58,,91,442,1000,1,63.4,422348,LocalBanks;Accenture;ConsultingFirms;Infosys,"BasicInfo:Established 1988;Infra:Hostel 533 seats, Library 1000 books;Management:StateRun;Education:UG 128,PG 15,PhD 24;Finance:Moderate;Rankings:NIRF 58;Placement:Rate 63.4% Median 422348"
73,Metro North Vishwavidyalaya 73,State,Bihar,City_Bihar_24,2013,B,2.47,NAAC,63,79,11,14,,,437,190,17049,5,51.3,498613,Wipro;Accenture;LocalBanks;StateCorp,"BasicInfo:Established 2013;Infra:Hostel 627 seats, Library 17049 books;Management:StateRun;Education:UG 63,PG 79,PhD 14;Finance:Moderate;Rankings:NIRF ;Placement:Rate 51.3% Median 498613"
74,Central North Institute of Science 74,Deemed,Assam,City_Assam_25,1989,B+,2.64,UGC,98,95,4,5,94,,456,248,191790,8,65.0,601433,Accenture;LocalBanks;Startups;Wipro,"BasicInfo:Established 1989;Infra:Hostel 704 seats, Library 191790 books;Management:StateRun;Education:UG 98,PG 95,PhD 5;Finance:Moderate;Rankings:NIRF 94;Placement:Rate 65.0% Median 601433"
75,Central Central University of Science and Technology 75,State,Telangana,City_Telangana_26,2017,B++,2.72,NAAC,47,34,15,18,51,,349,257,57649,1,65.7,441298,LocalBanks;TCS;Wipro;LocalCompanies,"BasicInfo:Established 2017;Infra:Hostel 606 seats, Library 57649 books;Management:StateRun;Education:UG 47,PG 34,PhD 18;Finance:Moderate;Rankings:NIRF 51;Placement:Rate 65.7% Median 441298"
76,National Metro University of Science and Technology 76,State,Uttar Pradesh,City_Uttar_27,2021,A,3.39,UGC;AICTE,8,35,17,7,,,294,422,64549,27,50.8,187538,Startups;LocalBanks;ConsultingFirms;StateCorp,"BasicInfo:Established 2021;Infra:Hostel 716 seats, Library 64549 books;Management:StateRun;Education:UG 8,PG 35,PhD 7;Finance:Moderate;Rankings:NIRF ;Placement:Rate 50.8% Median 187538"
77,Metro Metro University of Science and Technology 77,Deemed,Telangana,City_Telangana_28,1963,B+,2.71,UGC;AICTE,11,81,17,20,,,128,108,116331,58,51.1,293148,Wipro;TCS;LocalBanks;ConsultingFirms,"BasicInfo:Established 1963;Infra:Hostel 236 seats, Library 116331 books;Management:StateRun;Education:UG 11,PG 81,PhD 20;Finance:Moderate;Rankings:NIRF ;Placement:Rate 51.1% Median 293148"
78,Indian West Institute of Science 78,Autonomous,Haryana,City_Haryana_29,1967,A++,3.72,UGC,82,65,3,6,,,262,375,1000,1,24.4,774011,Wipro;Infosys;ConsultingFirms;StateCorp,"BasicInfo:Established 1967;Infra:Hostel 637 seats, Library 1000 books;Management:StateRun;Education:UG 82,PG 65,PhD 6;Finance:Moderate;Rankings:NIRF ;Placement:Rate 24.4% Median 774011"
79,Global Central Institute of Technology 79,State,Jharkhand,City_Jharkhand_30,2003,B+,2.74,UGC;AICTE,109,37,1,23,,,31,125,53753,73,71.8,454215,Wipro;Startups;ConsultingFirms;TCS,"BasicInfo:Established 2003;Infra:Hostel 156 seats, Library 53753 books;Management:StateRun;Education:UG 109,PG 37,PhD 23;Finance:Moderate;Rankings:NIRF ;Placement:Rate 71.8% Median 454215"
80,State East Institute of Science 80,Autonomous,Dadra & Nagar Haveli and Daman & Diu,City_Dadra_31,1995,A++,3.87,NAAC,53,17,14,5,,,438,88,1000,16,61.1,673547,Wipro;LocalCompanies;Startups;Infosys,"BasicInfo:Established 1995;Infra:Hostel 526 seats, Library 1000 books;Management:StateRun;Education:UG 53,PG 17,PhD 5;Finance:Moderate;Rankings:NIRF ;Placement:Rate 61.1% Median 673547"
81,Central Central University of Science and Technology 81,State,Maharashtra,City_Maharashtra_32,1958,B,2.38,UGC;AICTE;PCI,58,77,6,14,,,135,252,1000,13,72.6,717531,LocalBanks;Infosys;StateCorp;Accenture,"BasicInfo:Established 1958;Infra:Hostel 387 seats, Library 1000 books;Management:StateRun;Education:UG 58,PG 77,PhD 14;Finance:Moderate;Rankings:NIRF ;Placement:Rate 72.6% Median 717531"
82,Central Central Institute 82,State,Mizoram,City_Mizoram_33,1972,A+,3.48,UGC,38,3,11,15,,,163,117,1000,18,55.4,574051,LocalBanks;LocalCompanies;TCS;Infosys,"BasicInfo:Established 1972;Infra:Hostel 280 seats, Library 1000 books;Management:StateRun;Education:UG 38,PG 3,PhD 15;Finance:Moderate;Rankings:NIRF ;Placement:Rate 55.4% Median 574051"
83,Metro North School of Mines 83,State,Chhattisgarh,City_Chhattisgarh_34,2010,B++,2.96,NAAC,136,77,3,28,89,,34,458,54737,20,59.5,449521,ConsultingFirms;Wipro;Accenture;LocalCompanies,"BasicInfo:Established 2010;Infra:Hostel 492 seats, Library 54737 books;Management:StateRun;Education:UG 136,PG 77,PhD 28;Finance:Moderate;Rankings:NIRF 89;Placement:Rate 59.5% Median 449521"
84,Global West Vishwavidyalaya 84,Deemed,Arunachal Pradesh,City_Arunachal_35,1957,C,1.78,UGC;AICTE,114,89,3,31,79,,245,289,133199,1,98.0,887433,Startups;TCS;LocalCompanies;Infosys,"BasicInfo:Established 1957;Infra:Hostel 534 seats, Library 133199 books;Management:StateRun;Education:UG 114,PG 89,PhD 31;Finance:Moderate;Rankings:NIRF 79;Placement:Rate 98.0% Median 887433"
85,State East Institute 85,Central,Rajasthan,City_Rajasthan_36,1998,C,1.75,UGC;AICTE;PCI,80,60,16,38,88,,235,50,123730,21,79.0,705550,StateCorp;TCS;ConsultingFirms;LocalBanks,"BasicInfo:Established 1998;Infra:Hostel 285 seats, Library 123730 books;Management:StateRun;Education:UG 80,PG 60,PhD 38;Finance:Moderate;Rankings:NIRF 88;Placement:Rate 79.0% Median 705550"
86,Global South Institute of Science 86,State,West Bengal,City_West_37,2007,B,2.07,UGC;AICTE,91,60,12,26,,,0,271,127023,25,94.3,510242,TCS;LocalBanks;Wipro;Infosys,"BasicInfo:Established 2007;Infra:Hostel 271 seats, Library 127023 books;Management:StateRun;Education:UG 91,PG 60,PhD 26;Finance:Moderate;Rankings:NIRF ;Placement:Rate 94.3% Median 510242"
87,Modern Metro Institute 87,Deemed,Chandigarh,City_Chandigarh_38,1958,A+,3.79,UGC,28,57,3,23,,,263,0,1000,26,45.7,572209,Infosys;LocalCompanies;Accenture;StateCorp,"BasicInfo:Established 1958;Infra:Hostel 263 seats, Library 1000 books;Management:StateRun;Education:UG 28,PG 57,PhD 23;Finance:Moderate;Rankings:NIRF ;Placement:Rate 45.7% Median 572209"
88,State East Institute of Technology 88,Central,West Bengal,City_West_39,1956,C,1.87,UGC;AICTE;PCI,84,47,3,36,,,279,181,1000,54,50.8,672135,ConsultingFirms;Wipro;TCS;LocalBanks,"BasicInfo:Established 1956;Infra:Hostel 460 seats, Library 1000 books;Management:StateRun;Education:UG 84,PG 47,PhD 36;Finance:Moderate;Rankings:NIRF ;Placement:Rate 50.8% Median 672135"
89,State Central Vishwavidyalaya 89,State,Telangana,City_Telangana_40,1964,B+,2.88,UGC;AICTE;PCI,62,56,17,39,93,,99,107,70597,28,60.8,66427,ConsultingFirms;LocalCompanies;Accenture;LocalBanks,"BasicInfo:Established 1964;Infra:Hostel 206 seats, Library 70597 books;Management:StateRun;Education:UG 62,PG 56,PhD 39;Finance:Moderate;Rankings:NIRF 93;Placement:Rate 60.8% Median 66427"
90,Indian South University 90,Deemed,Nagaland,City_Nagaland_41,1989,B,2.38,NAAC,6,25,4,36,,,80,344,99391,1,39.1,344401,StateCorp;TCS;Startups;LocalBanks,"BasicInfo:Established 1989;Infra:Hostel 424 seats, Library 99391 books;Management:StateRun;Education:UG 6,PG 25,PhD 36;Finance:Moderate;Rankings:NIRF ;Placement:Rate 39.1% Median 344401"
91,Government Metro University 91,Central,Andaman & Nicobar,City_Andaman_42,1977,A,3.44,UGC;AICTE,92,22,11,19,,,280,149,158732,15,46.4,852737,LocalBanks;TCS;LocalCompanies;Startups,"BasicInfo:Established 1977;Infra:Hostel 429 seats, Library 158732 books;Management:StateRun;Education:UG 92,PG 22,PhD 19;Finance:Moderate;Rankings:NIRF ;Placement:Rate 46.4% Median 852737"
92,Government North Institute of Science 92,State,Nagaland,City_Nagaland_43,2006,B+,2.7,UGC;AICTE,118,55,8,13,80,,238,267,183237,50,23.2,80105,ConsultingFirms;TCS;Infosys;Wipro,"BasicInfo:Established 2006;Infra:Hostel 505 seats, Library 183237 books;Management:StateRun;Education:UG 118,PG 55,PhD 13;Finance:Moderate;Rankings:NIRF 80;Placement:Rate 23.2% Median 80105"
93,Tech Metro School of Mines 93,State,Punjab,City_Punjab_44,1955,A,3.38,UGC;AICTE;PCI,19,2,6,19,85,,91,122,146607,26,68.6,535250,Wipro;Infosys;StateCorp;Startups,"BasicInfo:Established 1955;Infra:Hostel 213 seats, Library 146607 books;Management:StateRun;Education:UG 19,PG 2,PhD 19;Finance:Moderate;Rankings:NIRF 85;Placement:Rate 68.6% Median 535250"
94,State West University 94,State,West Bengal,City_West_45,1972,A+,3.62,UGC;AICTE;PCI,63,66,17,22,82,,244,0,72684,11,67.5,137792,TCS;StateCorp;Startups;LocalBanks,"BasicInfo:Established 1972;Infra:Hostel 244 seats, Library 72684 books;Management:StateRun;Education:UG 63,PG 66,PhD 22;Finance:Moderate;Rankings:NIRF 82;Placement:Rate 67.5% Median 137792"
95,Government North Institute of Technology 95,State,Rajasthan,City_Rajasthan_46,2004,B++,2.84,UGC;AICTE,79,16,12,1,,,0,36,234232,49,48.1,454376,LocalBanks;Infosys;StateCorp;Accenture,"BasicInfo:Established 2004;Infra:Hostel 36 seats, Library 234232 books;Management:StateRun;Education:UG 79,PG 16,PhD 1;Finance:Moderate;Rankings:NIRF ;Placement:Rate 48.1% Median 454376"
96,Modern West University 96,State,Gujarat,City_Gujarat_47,1981,A,3.59,UGC;AICTE,139,12,12,19,,,392,232,117015,61,87.1,657160,LocalBanks;Wipro;Infosys;TCS,"BasicInfo:Established 1981;Infra:Hostel 624 seats, Library 117015 books;Management:StateRun;Education:UG 139,PG 12,PhD 19;Finance:Moderate;Rankings:NIRF ;Placement:Rate 87.1% Median 657160"
97,State Central School of Mines 97,State,Madhya Pradesh,City_Madhya_48,1994,A,3.32,AICTE,65,15,4,16,,,119,0,258478,1,52.8,195183,Wipro;Infosys;Accenture;TCS,"BasicInfo:Established 1994;Infra:Hostel 119 seats, Library 258478 books;Management:StateRun;Education:UG 65,PG 15,PhD 16;Finance:Moderate;Rankings:NIRF ;Placement:Rate 52.8% Median 195183"
98,State Metro Institute 98,Deemed,Jammu & Kashmir,City_Jammu_49,2009,B+,2.79,UGC;AICTE;PCI,119,89,18,40,,,403,0,157828,58,78.0,50000,LocalBanks;ConsultingFirms;TCS;Wipro,"BasicInfo:Established 2009;Infra:Hostel 403 seats, Library 157828 books;Management:StateRun;Education:UG 119,PG 89,PhD 40;Finance:Moderate;Rankings:NIRF ;Placement:Rate 78.0% Median 50000"
99,Tech East Institute of Science 99,State,Nagaland,City_Nagaland_50,1957,A,2.92,UGC,84,61,14,2,,,394,310,75425,81,69.7,436324,LocalCompanies;LocalBanks;StateCorp;Infosys,"BasicInfo:Established 1957;Infra:Hostel 704 seats, Library 75425 books;Management:StateRun;Education:UG 84,PG 61,PhD 2;Finance:Moderate;Rankings:NIRF ;Placement:Rate 69.7% Median 436324"
100,State Central School of Mines 100,State,Ladakh,City_Ladakh_1,1999,B++,3.26,UGC;AICTE;PCI,15,59,18,12,,,238,147,101272,14,59.5,261194,LocalBanks;Startups;Accenture;TCS,"BasicInfo:Established 1999;Infra:Hostel 385 seats, Library 101272 books;Management:StateRun;Education:UG 15,PG 59,PhD 12;Finance:Moderate;Rankings:NIRF ;Placement:Rate 59.5% Median 261194"
101,Tech East University 101,Autonomous,Goa,City_Goa_2,2014,B+,2.58,UGC,68,92,14,28,69,,169,45,113492,10,43.9,148471,ConsultingFirms;Infosys;Startups;StateCorp,"BasicInfo:Established 2014;Infra:Hostel 214 seats, Library 113492 books;Management:StateRun;Education:UG 68,PG 92,PhD 28;Finance:Moderate;Rankings:NIRF 69;Placement:Rate 43.9% Median 148471"
102,Metro East Institute of Technology 102,Autonomous,Bihar,City_Bihar_3,1992,A++,3.64,UGC,147,88,12,18,95,,56,116,95046,1,76.6,451903,Accenture;Infosys;Startups;LocalCompanies,"BasicInfo:Established 1992;Infra:Hostel 172 seats, Library 95046 books;Management:StateRun;Education:UG 147,PG 88,PhD 18;Finance:Moderate;Rankings:NIRF 95;Placement:Rate 76.6% Median 451903"
103,Central East Vishwavidyalaya 103,Central,Uttar Pradesh,City_Uttar_4,1966,B++,2.98,UGC,84,73,12,21,,,101,224,9703,7,57.9,528818,Infosys;TCS;LocalBanks;StateCorp,"BasicInfo:Established 1966;Infra:Hostel 325 seats, Library 9703 books;Management:StateRun;Education:UG 84,PG 73,PhD 21;Finance:Moderate;Rankings:NIRF ;Placement:Rate 57.9% Median 528818"
104,Modern East University 104,State,Punjab,City_Punjab_5,1973,C,1.98,NAAC,129,26,7,8,,,0,171,1000,115,98.0,233515,Infosys;TCS;ConsultingFirms;LocalCompanies,"BasicInfo:Established 1973;Infra:Hostel 171 seats, Library 1000 books;Management:StateRun;Education:UG 129,PG 26,PhD 8;Finance:Moderate;Rankings:NIRF ;Placement:Rate 98.0% Median 233515"
105,National Institute of Technology Durgapur,Central,Sikkim,Durgapur,2009,B++,2.66,UGC;AICTE;PCI,101,21,5,11,78,,68,184,76756,39,98.0,355763,Infosys;Startups;LocalCompanies;Wipro,"BasicInfo:Established 2009;Infra:Hostel 252 seats, Library 76756 books;Management:StateRun;Education:UG 101,PG 21,PhD 11;Finance:Moderate;Rankings:NIRF 78;Placement:Rate 98.0% Median 355763"
106,National Central Institute of Technology 106,State,Odisha,City_Odisha_7,2007,A,3.18,AICTE,84,62,6,23,,,73,149,105580,1,10.0,182444,Startups;ConsultingFirms;StateCorp;Infosys,"BasicInfo:Established 2007;Infra:Hostel 222 seats, Library 105580 books;Management:StateRun;Education:UG 84,PG 62,PhD 23;Finance:Moderate;Rankings:NIRF ;Placement:Rate 10.0% Median 182444"
107,Global West School of Mines 107,Deemed,Karnataka,City_Karnataka_8,1975,B,2.6,AICTE,69,8,20,30,,,30,220,21256,37,82.2,605120,LocalBanks;TCS;ConsultingFirms;Accenture,"BasicInfo:Established 1975;Infra:Hostel 250 seats, Library 21256 books;Management:StateRun;Education:UG 69,PG 8,PhD 30;Finance:Moderate;Rankings:NIRF ;Placement:Rate 82.2% Median 605120"
108,Indian South University 108,Autonomous,Nagaland,City_Nagaland_9,2007,B,2.48,AICTE,116,13,7,28,,,102,207,20374,1,46.2,523738,LocalBanks;LocalCompanies;Wipro;Startups,"BasicInfo:Established 2007;Infra:Hostel 309 seats, Library 20374 books;Management:StateRun;Education:UG 116,PG 13,PhD 28;Finance:Moderate;Rankings:NIRF ;Placement:Rate 46.2% Median 523738"
109,Modern West Institute 109,State,Goa,City_Goa_10,1997,A,3.27,NAAC,30,93,20,21,95,,200,228,1000,11,42.4,302265,Infosys;ConsultingFirms;LocalCompanies;Startups,"BasicInfo:Established 1997;Infra:Hostel 428 seats, Library 1000 books;Management:StateRun;Education:UG 30,PG 93,PhD 21;Finance:Moderate;Rankings:NIRF 95;Placement:Rate 42.4% Median 302265"
110,Indian Institute of Technology Indore,Central,Chandigarh,Indore,2007,B++,2.9,UGC,9,34,6,9,,,147,282,94574,1,48.9,522948,ConsultingFirms;StateCorp;LocalCompanies;Infosys,"BasicInfo:Established 2007;Infra:Hostel 429 seats, Library 94574 books;Management:StateRun;Education:UG 9,PG 34,PhD 9;Finance:Moderate;Rankings:NIRF ;Placement:Rate 48.9% Median 522948"
111,State South University 111,State,Uttarakhand,City_Uttarakhand_12,2008,A++,3.87,UGC;AICTE,142,4,20,32,,,109,66,46674,80,45.2,50000,Wipro;Infosys;Startups;ConsultingFirms,"BasicInfo:Established 2008;Infra:Hostel 175 seats, Library 46674 books;Management:StateRun;Education:UG 142,PG 4,PhD 32;Finance:Moderate;Rankings:NIRF ;Placement:Rate 45.2% Median 50000"
112,Modern Central Institute 112,State,Uttarakhand,City_Uttarakhand_13,1973,B+,2.91,UGC,139,48,2,33,81,,309,279,1000,7,35.4,355564,ConsultingFirms;LocalCompanies;Wipro;StateCorp,"BasicInfo:Established 1973;Infra:Hostel 588 seats, Library 1000 books;Management:StateRun;Education:UG 139,PG 48,PhD 33;Finance:Moderate;Rankings:NIRF 81;Placement:Rate 35.4% Median 355564"
113,Metro East Vishwavidyalaya 113,State,Arunachal Pradesh,City_Arunachal_14,1995,B+,2.87,NAAC,66,95,20,6,66,,396,201,69464,9,91.0,120853,LocalBanks;Infosys;LocalCompanies;Startups,"BasicInfo:Established 1995;Infra:Hostel 597 seats, Library 69464 books;Management:StateRun;Education:UG 66,PG 95,PhD 6;Finance:Moderate;Rankings:NIRF 66;Placement:Rate 91.0% Median 120853"
114,Central Metro University of Science and Technology 114,Central,Puducherry,City_Puducherry_15,2011,B++,2.82,AICTE,21,93,14,2,98,,12,323,43427,53,66.9,514188,Accenture;Wipro;LocalCompanies;TCS,"BasicInfo:Established 2011;Infra:Hostel 335 seats, Library 43427 books;Management:StateRun;Education:UG 21,PG 93,PhD 2;Finance:Moderate;Rankings:NIRF 98;Placement:Rate 66.9% Median 514188"
115,Modern Central Vishwavidyalaya 115,Autonomous,Uttar Pradesh,City_Uttar_16,2019,B++,3.1,UGC,53,38,11,3,73,,399,173,106720,17,88.8,230901,LocalBanks;Accenture;LocalCompanies;Infosys,"BasicInfo:Established 2019;Infra:Hostel 572 seats, Library 106720 books;Management:StateRun;Education:UG 53,PG 38,PhD 3;Finance:Moderate;Rankings:NIRF 73;Placement:Rate 88.8% Median 230901"
116,Metro West Institute of Science 116,State,Tripura,City_Tripura_17,1993,C,2.07,UGC;AICTE,132,49,16,17,51,,104,269,27848,19,56.5,227960,TCS;StateCorp;LocalCompanies;Wipro,"BasicInfo:Established 1993;Infra:Hostel 373 seats, Library 27848 books;Management:StateRun;Education:UG 132,PG 49,PhD 17;Finance:Moderate;Rankings:NIRF 51;Placement:Rate 56.5% Median 227960"
117,Central East School of Mines 117,Central,Rajasthan,City_Rajasthan_18,1963,A+,3.75,NAAC,83,59,19,27,,,35,33,46183,19,36.8,775849,Infosys;Startups;ConsultingFirms;Wipro,"BasicInfo:Established 1963;Infra:Hostel 68 seats, Library 46183 books;Management:StateRun;Education:UG 83,PG 59,PhD 27;Finance:Moderate;Rankings:NIRF ;Placement:Rate 36.8% Median 775849"
118,National Institute of Technology Rourkela,Central,Nagaland,Rourkela,2000,C,1.93,UGC,24,87,20,25,51,,353,160,1000,1,78.4,538131,LocalBanks;Infosys;LocalCompanies;TCS,"BasicInfo:Established 2000;Infra:Hostel 513 seats, Library 1000 books;Management:StateRun;Education:UG 24,PG 87,PhD 25;Finance:Moderate;Rankings:NIRF 51;Placement:Rate 78.4% Median 538131"
119,Tech South University 119,Deemed,Chhattisgarh,City_Chhattisgarh_20,1980,B+,2.73,NAAC,97,51,18,2,,,332,0,118890,57,71.2,316146,Infosys;Startups;ConsultingFirms;StateCorp,"BasicInfo:Established 1980;Infra:Hostel 332 seats, Library 118890 books;Management:StateRun;Education:UG 97,PG 51,PhD 2;Finance:Moderate;Rankings:NIRF ;Placement:Rate 71.2% Median 316146"
120,State South School of Mines 120,State,Andaman & Nicobar,City_Andaman_21,1996,A,3.66,NAAC,68,16,0,11,,,184,329,184851,6,94.6,668770,Startups;StateCorp;Accenture;LocalCompanies,"BasicInfo:Established 1996;Infra:Hostel 513 seats, Library 184851 books;Management:StateRun;Education:UG 68,PG 16,PhD 11;Finance:Moderate;Rankings:NIRF ;Placement:Rate 94.6% Median 668770"
121,Indian West Institute of Science 121,State,Maharashtra,City_Maharashtra_22,1986,B+,2.65,UGC;AICTE,56,17,4,4,,,0,127,133421,35,20.1,189156,Startups;Infosys;LocalBanks;Wipro,"BasicInfo:Established 1986;Infra:Hostel 127 seats, Library 133421 books;Management:StateRun;Education:UG 56,PG 17,PhD 4;Finance:Moderate;Rankings:NIRF ;Placement:Rate 20.1% Median 189156"
122,Modern East Institute of Science 122,Autonomous,Chhattisgarh,City_Chhattisgarh_23,2020,B++,3.0,NAAC,45,93,20,11,,,272,99,140500,11,87.7,589363,LocalBanks;Wipro;LocalCompanies;TCS,"BasicInfo:Established 2020;Infra:Hostel 371 seats, Library 140500 books;Management:StateRun;Education:UG 45,PG 93,PhD 11;Finance:Moderate;Rankings:NIRF ;Placement:Rate 87.7% Median 589363"
123,National West University of Science and Technology 123,Deemed,Arunachal Pradesh,City_Arunachal_24,1996,B++,3.14,NAAC,124,72,4,39,,,641,140,20146,65,92.8,549945,TCS;ConsultingFirms;Infosys;Wipro,"BasicInfo:Established 1996;Infra:Hostel 781 seats, Library 20146 books;Management:StateRun;Education:UG 124,PG 72,PhD 39;Finance:Moderate;Rankings:NIRF ;Placement:Rate 92.8% Median 549945"
124,Tech West School of Mines 124,Autonomous,Uttarakhand,City_Uttarakhand_25,1959,A+,3.77,NAAC,23,59,14,33,52,,421,315,1000,31,69.9,465168,LocalBanks;Infosys;StateCorp;Accenture,"BasicInfo:Established 1959;Infra:Hostel 736 seats, Library 1000 books;Management:StateRun;Education:UG 23,PG 59,PhD 33;Finance:Moderate;Rankings:NIRF 52;Placement:Rate 69.9% Median 465168"
125,Central South University of Science and Technology 125,Central,West Bengal,City_West_26,2014,B,2.4,UGC,36,68,4,19,96,,375,335,194359,1,65.5,68730,Infosys;ConsultingFirms;Startups;LocalBanks,"BasicInfo:Established 2014;Infra:Hostel 710 seats, Library 194359 books;Management:StateRun;Education:UG 36,PG 68,PhD 19;Finance:Moderate;Rankings:NIRF 96;Placement:Rate 65.5% Median 68730"
126,Global North Vishwavidyalaya 126,State,Mizoram,City_Mizoram_27,1975,B++,3.16,UGC;AICTE;PCI,75,18,20,19,50,,129,191,46246,34,61.5,79251,ConsultingFirms;TCS;Accenture;LocalBanks,"BasicInfo:Established 1975;Infra:Hostel 320 seats, Library 46246 books;Management:StateRun;Education:UG 75,PG 18,PhD 19;Finance:Moderate;Rankings:NIRF 50;Placement:Rate 61.5% Median 79251"
127,Central Metro Institute 127,State,Sikkim,City_Sikkim_28,1955,B,2.17,UGC,25,7,20,36,,,135,49,91653,45,84.5,703627,Accenture;Wipro;StateCorp;ConsultingFirms,"BasicInfo:Established 1955;Infra:Hostel 184 seats, Library 91653 books;Management:StateRun;Education:UG 25,PG 7,PhD 36;Finance:Moderate;Rankings:NIRF ;Placement:Rate 84.5% Median 703627"
128,Government Metro Institute of Technology 128,State,Dadra & Nagar Haveli and Daman & Diu,City_Dadra_29,1987,B+,2.69,NAAC,128,33,12,19,,,161,126,44271,18,74.6,412986,Startups;TCS;LocalBanks;LocalCompanies,"BasicInfo:Established 1987;Infra:Hostel 287 seats, Library 44271 books;Management:StateRun;Education:UG 128,PG 33,PhD 19;Finance:Moderate;Rankings:NIRF ;Placement:Rate 74.6% Median 412986"
129,Metro West Institute of Technology 129,State,Maharashtra,City_Maharashtra_30,1993,B++,3.11,NAAC,86,95,11,25,98,,187,355,111750,5,10.9,50000,Infosys;LocalBanks;Accenture;StateCorp,"BasicInfo:Established 1993;Infra:Hostel 542 seats, Library 111750 books;Management:StateRun;Education:UG 86,PG 95,PhD 25;Finance:Moderate;Rankings:NIRF 98;Placement:Rate 10.9% Median 50000"
130,National North Institute of Technology 130,State,Nagaland,City_Nagaland_31,2007,A,3.38,UGC,17,39,12,39,,,90,210,97999,1,50.8,251540,StateCorp;Wipro;ConsultingFirms;TCS,"BasicInfo:Established 2007;Infra:Hostel 300 seats, Library 97999 books;Management:StateRun;Education:UG 17,PG 39,PhD 39;Finance:Moderate;Rankings:NIRF ;Placement:Rate 50.8% Median 251540"
131,Modern South Institute 131,Deemed,Jammu & Kashmir,City_Jammu_32,2015,B++,2.98,NAAC,132,4,2,25,75,,195,174,134052,53,83.7,559682,ConsultingFirms;Startups;TCS;StateCorp,"BasicInfo:Established 2015;Infra:Hostel 369 seats, Library 134052 books;Management:StateRun;Education:UG 132,PG 4,PhD 25;Finance:Moderate;Rankings:NIRF 75;Placement:Rate 83.7% Median 559682"
